MicroSyst DL Network 3.02 TXT File
Файл:  C:\Program Files (x86)\MicroSyst DL Network 3.02 v3.02\DEVICES\DEV00001\2022.03.01_14.33.41.dnm

Устройство:   KOC-Plovdiv         
Канали:        3 
Записи:        1424 

Дата:         01 март 2022 г.


                  	температура1 	температура2 	влажност     
'03.03.22 07:03:41	5.8          	0.0          	0.0
'03.03.22 07:13:41	5.5          	0.0          	0.0
'03.03.22 07:23:41	6.4          	0.0          	0.0
'03.03.22 07:33:41	5.5          	0.0          	0.0
'03.03.22 07:43:41	5.8          	0.0          	0.0
'03.03.22 07:53:41	6.1          	0.0          	0.0
'03.03.22 08:03:41	5.4          	0.0          	0.0
'03.03.22 08:13:41	6.7          	0.0          	0.0
'03.03.22 08:23:41	5.7          	0.0          	0.0
'03.03.22 08:33:41	5.8          	0.0          	0.0
'03.03.22 08:43:41	6.1          	0.0          	0.0
'03.03.22 08:53:41	5.4          	0.0          	0.0
'03.03.22 09:03:41	6.4          	0.0          	0.0
'03.03.22 09:13:41	5.8          	0.0          	0.0
'03.03.22 09:23:41	5.7          	0.0          	0.0
'03.03.22 09:33:41	6.4          	0.0          	0.0
'03.03.22 09:43:41	5.6          	0.0          	0.0
'03.03.22 09:53:41	6.1          	0.0          	0.0
'03.03.22 10:03:41	6.0          	0.0          	0.0
'03.03.22 10:13:41	5.3          	0.0          	0.0
'03.03.22 10:23:41	6.5          	0.0          	0.0
'03.03.22 10:33:41	5.7          	0.0          	0.0
'03.03.22 10:43:41	5.9          	0.0          	0.0
'03.03.22 10:53:41	6.1          	0.0          	0.0
'03.03.22 11:03:41	5.4          	0.0          	0.0
'03.03.22 11:13:41	6.3          	0.0          	0.0
'03.03.22 11:23:41	5.6          	0.0          	0.0
'03.03.22 11:33:41	5.6          	0.0          	0.0
'03.03.22 11:43:41	6.3          	0.0          	0.0
'03.03.22 11:53:41	5.5          	0.0          	0.0
'03.03.22 12:03:41	6.2          	0.0          	0.0
'03.03.22 12:13:41	5.8          	0.0          	0.0
'03.03.22 12:23:41	5.5          	0.0          	0.0
'03.03.22 12:33:41	6.4          	0.0          	0.0
'03.03.22 12:43:41	5.6          	0.0          	0.0
'03.03.22 12:53:41	5.8          	0.0          	0.0
'03.03.22 13:03:41	6.1          	0.0          	0.0
'03.03.22 13:13:41	5.4          	0.0          	0.0
'03.03.22 13:23:41	6.3          	0.0          	0.0
'03.03.22 13:33:41	5.7          	0.0          	0.0
'03.03.22 13:43:41	5.6          	0.0          	0.0
'03.03.22 13:53:41	6.4          	0.0          	0.0
'03.03.22 14:03:41	5.5          	0.0          	0.0
'03.03.22 14:13:41	6.4          	0.0          	0.0
'03.03.22 14:23:41	5.8          	0.0          	0.0
'03.03.22 14:33:41	5.5          	0.0          	0.0
'03.03.22 14:43:41	6.2          	0.0          	0.0
'03.03.22 14:53:41	5.4          	0.0          	0.0
